,工商银行,招商银行,中国平安,贵州茅台,宁德时代,比亚迪,中国石油,紫金矿业,企业债指数,国债ETF,十年国债ETF,短债ETF,五年地债ETF,活跃国债ETF,沪深300ETF,中证500ETF,创业板ETF,上证50ETF,银行ETF,证券ETF,医药ETF,红利ETF,黄金ETF,能源化工ETF,豆粕ETF,十年国债期货,五年国债期货,沪深300股指期货,中证500股指期货,上证50股指期货
十年国债ETF,7.182166983515117e-05,-0.18298983236066785,-0.21952317040817804,-0.23152074602818043,-0.20963819682349344,-0.21008043413095223,-0.09462526607274617,-0.14917364732206823,0.03309591209607796,0.8453498068679701,1.0,0.6745137316907495,0.5295791038129511,0.7999606706088073,-0.3303611775569613,-0.32073733423145573,-0.33076918683823,-0.3149589452805158,-0.10417865568843863,-0.28026106749765084,-0.26515847761393513,-0.14288899557447904,-0.0034529810002359895,-0.1999329427939369,-0.023030079748219245,0.7676254916592967,0.6957276054387361,-0.3401995241546118,-0.3191658051098432,-0.3239724176683889
短债ETF,-0.0019256356250157186,-0.1659903008301558,-0.21545543607024822,-0.22189207964984892,-0.16519587481086936,-0.15016504372664174,-0.09768598464464182,-0.1037882411595173,0.02486314214893838,0.6246853516185068,0.6745137316907495,1.0,0.7646190385678214,0.6253968700421704,-0.30497471694603073,-0.3015791419787164,-0.29500834809942156,-0.2893706507561373,-0.11231031564290671,-0.28610656566925335,-0.272601260908569,-0.12973219115769746,0.018090695736887655,-0.16513982128197796,-0.026932470871334026,0.6054663387332664,0.5590750219566581,-0.30561372092203903,-0.2991954094480673,-0.2856556013089834
五年地债ETF,-0.013391056825141887,-0.1336416269905777,-0.1428735278983351,-0.17370379134124422,-0.08359889368348067,-0.09222753771789656,-0.06012639632016053,-0.08123206641830705,0.017630505606267066,0.5405800426844403,0.5295791038129511,0.7646190385678214,1.0,0.482614429916796,-0.1958406604906078,-0.17958861465118434,-0.1667038426658338,-0.19544675614126247,-0.0992921615300051,-0.16344988516780123,-0.1483007617433255,-0.10997165237648346,0.0017564985461025865,-0.17772905611877496,-0.019315772126019804,0.526038736617556,0.5285989790221376,-0.20170455531191306,-0.1872431220133799,-0.2010548940337472
活跃国债ETF,0.03512666882748985,-0.14669618597604828,-0.1943825063879739,-0.23725332093318377,-0.15925704453351175,-0.18767756691266796,-0.0444879916776652,-0.10013434798012946,0.02461562018478334,0.7566656130396422,0.7999606706088073,0.6253968700421704,0.482614429916796,1.0,-0.2937323366669487,-0.3045496173894392,-0.2854979990094256,-0.2864092510448764,-0.07432085474740302,-0.25263552635134806,-0.26207972067871,-0.12403927638749583,0.02161901644224175,-0.15575331947040671,-0.031103807789344042,0.6819446841177302,0.6342223777777092,-0.3073940473318818,-0.30789899784346103,-0.299921600146735
沪深300ETF,0.1640566406357202,0.5585182166233226,0.7271522753281282,0.6611819361111555,0.6627006476700311,0.6006370967211899,0.3260997120359639,0.4627175163734144,0.0866968525261937,-0.28303390690933183,-0.3303611775569613,-0.30497471694603073,-0.1958406604906078,-0.2937323366669487,1.0,0.8588180454242988,0.8716629278499918,0.9206666758476219,0.44797882189427707,0.8009955622844814,0.7425122489324123,0.5029280032940857,0.06646161601506555,0.3115984407750462,0.08041278556879941,-0.3092104219775487,-0.24341007786250157,0.9771277235592589,0.8344946767321437,0.9239741332059769
中证500ETF,-0.07432052965557873,0.28807149534835313,0.5152473248379132,0.4632939592844897,0.5471608637726261,0.5386514055642059,0.18060334159174526,0.38894748527181733,0.046132225068456975,-0.2757159589883467,-0.32073733423145573,-0.3015791419787164,-0.17958861465118434,-0.3045496173894392,0.8588180454242988,1.0,0.8863820118250627,0.7048429882040823,0.1965526093534456,0.7719153069691536,0.7377196319883493,0.3644319279891132,0.07171478677143917,0.2818864643873848,0.07013416703049705,-0.2982911818158097,-0.24385733477517693,0.8610465295955776,0.9730032294962688,0.7242378929099692
创业板ETF,-0.09970726713193863,0.30080266917957577,0.5228795241833704,0.4903265354782585,0.7520186270547923,0.6088305741997894,0.11987001658887898,0.3362247061645711,0.06536343868139534,-0.28791325073007973,-0.33076918683823,-0.29500834809942156,-0.1667038426658338,-0.2854979990094256,0.8716629278499918,0.8863820118250627,1.0,0.7028977904101422,0.18097839817472708,0.7569607707297363,0.7823905908017552,0.2266798136053397,0.02130373337250385,0.28150982427974075,0.07085446619939387,-0.295787958290402,-0.24842662373377927,0.8626678273182201,0.8595822369224565,0.7057099301316444
上证50ETF,0.3383915807131323,0.6823621994849804,0.7942520543091197,0.7402010886941002,0.5722217686868968,0.5313499315536713,0.41919131621891126,0.46366140471997314,0.0805678981432457,-0.27624998836362014,-0.3149589452805158,-0.2893706507561373,-0.19544675614126247,-0.2864092510448764,0.9206666758476219,0.7048429882040823,0.7028977904101422,1.0,0.5696576509310652,0.7203781454324737,0.6646380978539088,0.5814184093229481,0.06867419448831215,0.29668338048807774,0.09031134255141465,-0.3062650189193072,-0.23883811070448718,0.9203555721551934,0.6840818507493905,0.9705753020067249
银行ETF,0.6935208546937556,0.7345573714918543,0.5520580644647618,0.362154863367671,0.20398696510132752,0.16353428037340248,0.44391034268137997,0.20278381914047056,0.06775408133412016,-0.117332643782234,-0.10417865568843863,-0.11231031564290671,-0.0992921615300051,-0.07432085474740302,0.44797882189427707,0.1965526093534456,0.18097839817472708,0.5696576509310652,1.0,0.29972861032170045,0.19139425865535378,0.6178182986842797,0.07731625095993859,0.12990212843597965,0.0003050558727706514,-0.11899163315582446,-0.09626382569136024,0.4317487005096738,0.1857955241173189,0.5401981566602262
证券ETF,0.06617135759779545,0.41654504760262884,0.6440855167386813,0.48720546234007606,0.4798137228159289,0.4495539214875116,0.16982307482799058,0.27093895568694176,0.02832850743394491,-0.24921223645077678,-0.28026106749765084,-0.28610656566925335,-0.16344988516780123,-0.25263552635134806,0.8009955622844814,0.7719153069691536,0.7569607707297363,0.7203781454324737,0.29972861032170045,1.0,0.6084117204015933,0.3469359797070375,-0.015178643056751758,0.2539710939753531,0.05842241002817966,-0.2694973194962723,-0.22182001774531432,0.7973134461704079,0.7574342236055968,0.7219058210083968
医药ETF,-0.06964031391873222,0.2812249151948437,0.48712636715550794,0.5251611264026668,0.5856622692297275,0.49410804154768134,0.10750191777322472,0.26557371340741115,0.07728597250161694,-0.23970171381958408,-0.26515847761393513,-0.272601260908569,-0.1483007617433255,-0.26207972067871,0.7425122489324123,0.7377196319883493,0.7823905908017552,0.6646380978539088,0.19139425865535378,0.6084117204015933,1.0,0.2352011308642818,0.013782998614354355,0.21460937482096767,0.11077332166913109,-0.2331913486025131,-0.2073999056369441,0.7356271182227295,0.7071023231086437,0.6568456711225172
红利ETF,0.5571399492752506,0.5213600927337653,0.4957404945564746,0.34929609242881887,0.16597997644056475,0.16024527370739963,0.6090395402189785,0.35475174692649725,0.03130830820770931,-0.14351901065259626,-0.14288899557447904,-0.12973219115769746,-0.10997165237648346,-0.12403927638749583,0.5029280032940857,0.3644319279891132,0.2266798136053397,0.5814184093229481,0.6178182986842797,0.3469359797070375,0.2352011308642818,1.0,0.09553124613955727,0.22377888517333178,0.033227391817819946,-0.14478758679497936,-0.09533060750414528,0.48664582587892147,0.3450652854683863,0.5690349767144416
黄金ETF,0.020263399109852913,0.043792720217382924,0.007590661935071267,-0.03966324207254265,0.021153006612735375,0.01883062100514476,0.12314317054915733,0.46762429895125307,0.020557675671838336,-0.0014825805443807935,-0.0034529810002359895,0.018090695736887655,0.0017564985461025865,0.02161901644224175,0.06646161601506555,0.07171478677143917,0.02130373337250385,0.06867419448831215,0.07731625095993859,-0.015178643056751758,0.013782998614354355,0.09553124613955727,1.0,0.028154939512910808,-0.005047031623254065,0.05528175653218158,0.05317234488640301,0.06895921946060524,0.06000913251937816,0.07564353327040689
能源化工ETF,0.0046626234129166135,0.18999754833206126,0.19600559230137357,0.24491553394680676,0.22795433613208313,0.2008806171573526,0.28602962588752884,0.27985885933425175,-0.06970792623832037,-0.18680002765992337,-0.1999329427939369,-0.16513982128197796,-0.17772905611877496,-0.15575331947040671,0.3115984407750462,0.2818864643873848,0.28150982427974075,0.29668338048807774,0.12990212843597965,0.2539710939753531,0.21460937482096767,0.22377888517333178,0.028154939512910808,1.0,0.12507306564584145,-0.20905924270517112,-0.1821881346176531,0.31925571111464834,0.2760621629082821,0.29500599492772117
豆粕ETF,0.005359982674853029,0.035389044173439084,0.05662439074429778,0.12957140057783437,0.06978192581510134,0.07943563424933885,0.03571960572476315,0.03209509260344695,0.05025127352671532,0.004537339961844006,-0.023030079748219245,-0.026932470871334026,-0.019315772126019804,-0.031103807789344042,0.08041278556879941,0.07013416703049705,0.07085446619939387,0.09031134255141465,0.0003050558727706514,0.05842241002817966,0.11077332166913109,0.033227391817819946,-0.005047031623254065,0.12507306564584145,1.0,0.006615915548245231,-0.0015934813736241497,0.08934601115287236,0.06693045721008059,0.10008460105417874
十年国债期货,-0.0005626125891014924,-0.20278257763733912,-0.20940575630825772,-0.2250589381210532,-0.17504234409474487,-0.19819752192550014,-0.1187566700067381,-0.1361202880415923,0.021830019858086698,0.7346858701655491,0.7676254916592967,0.6054663387332664,0.526038736617556,0.6819446841177302,-0.3092104219775487,-0.2982911818158097,-0.295787958290402,-0.3062650189193072,-0.11899163315582446,-0.2694973194962723,-0.2331913486025131,-0.14478758679497936,0.05528175653218158,-0.20905924270517112,0.006615915548245231,1.0,0.8926586061595595,-0.3179866442305947,-0.2958757809163653,-0.3047885828125215
五年国债期货,0.003826143654029072,-0.1803720088938653,-0.1636471569599496,-0.1712333772931808,-0.1470058510562955,-0.14763009144492215,-0.08901320955997571,-0.08706138146762105,-0.028845087544960634,0.7338990576963331,0.6957276054387361,0.5590750219566581,0.5285989790221376,0.6342223777777092,-0.24341007786250157,-0.24385733477517693,-0.24842662373377927,-0.23883811070448718,-0.09626382569136024,-0.22182001774531432,-0.2073999056369441,-0.09533060750414528,0.05317234488640301,-0.1821881346176531,-0.0015934813736241497,0.8926586061595595,1.0,-0.2528642651202017,-0.24268669783998525,-0.2336395268674808
沪深300股指期货,0.15259547752962824,0.5432392625530925,0.7086439990727562,0.6728276054530667,0.6486582116685886,0.5981636369878152,0.31084045696554785,0.46271619248227136,0.07850827150511011,-0.2929610644773762,-0.3401995241546118,-0.30561372092203903,-0.20170455531191306,-0.3073940473318818,0.9771277235592589,0.8610465295955776,0.8626678273182201,0.9203555721551934,0.4317487005096738,0.7973134461704079,0.7356271182227295,0.48664582587892147,0.06895921946060524,0.31925571111464834,0.08934601115287236,-0.3179866442305947,-0.2528642651202017,1.0,0.8596752273593933,0.9414359549642901
中证500股指期货,-0.07555674751881793,0.2709843457543576,0.4929132561714046,0.44814016137983687,0.525078773388654,0.5273509389919927,0.16225170885809787,0.3764432952275389,0.024350775804287014,-0.28105186872470994,-0.3191658051098432,-0.2991954094480673,-0.1872431220133799,-0.30789899784346103,0.8344946767321437,0.9730032294962688,0.8595822369224565,0.6840818507493905,0.1857955241173189,0.7574342236055968,0.7071023231086437,0.3450652854683863,0.06000913251937816,0.2760621629082821,0.06693045721008059,-0.2958757809163653,-0.24268669783998525,0.8596752273593933,1.0,0.7168982335461022
上证50股指期货,0.3139986432141759,0.6465573349740267,0.7702280444523819,0.7452310647106346,0.5587790577983056,0.5309994337914719,0.40029450517928206,0.4611956904382759,0.06841080926591223,-0.28004035275551253,-0.3239724176683889,-0.2856556013089834,-0.2010548940337472,-0.299921600146735,0.9239741332059769,0.7242378929099692,0.7057099301316444,0.9705753020067249,0.5401981566602262,0.7219058210083968,0.6568456711225172,0.5690349767144416,0.07564353327040689,0.29500599492772117,0.10008460105417874,-0.3047885828125215,-0.2336395268674808,0.9414359549642901,0.7168982335461022,1.0
