,工商银行,招商银行,中国平安,贵州茅台,宁德时代,比亚迪,中国石油,紫金矿业,企业债指数,国债ETF,十年国债ETF,短债ETF,五年地债ETF,活跃国债ETF,沪深300ETF,中证500ETF,创业板ETF,上证50ETF,银行ETF,证券ETF,医药ETF,红利ETF,黄金ETF,能源化工ETF,豆粕ETF,十年国债期货,五年国债期货,沪深300股指期货,中证500股指期货,上证50股指期货
十年国债ETF,1.3861327316267238,1.5192904071681832,1.5528336771133777,1.5878356566464524,1.5632712938091728,1.5584237513522767,1.452522871646398,1.4842682837710428,1.4218639736143668,0.5387021971868261,0.0,0.6870774999731133,0.8548826273273729,0.6362378111590332,1.6399673480015944,1.6425982890695499,1.623474511641973,1.6217728922299854,1.4936887168704107,1.6156554496860325,1.6265399652429542,1.5014827179872037,1.4177722956799914,1.5612871093448453,1.4365341346452394,0.5551138191522319,0.7076760211576976,1.644599333032976,1.6462613535164456,1.6321557586306414
短债ETF,1.4075340027848053,1.5351465131944835,1.5788197873224528,1.621851516817771,1.568427525788128,1.5400811558103833,1.4577588233852625,1.4793701683808633,1.4265931460920325,0.7312600868745623,0.6870774999731133,0.0,0.5344626066741096,0.8417119192340599,1.6611200709766831,1.657789678012265,1.6501541257659726,1.6492848024388638,1.5200254037260403,1.6542756178761653,1.6636723602772518,1.5083585249605116,1.4555067839045326,1.5662850859714341,1.4328414024851812,0.765821073114315,0.8307778217670928,1.6636616667065762,1.6603492973885046,1.647130890017596
五年地债ETF,1.4232266692591482,1.5314046039067437,1.5497714083566705,1.5623949102027002,1.5141955617477745,1.4978234112407163,1.4543605415167604,1.5073837363080465,1.4558694616364065,0.8330246285800853,0.8548826273273729,0.5344626066741096,0.0,0.941883239412163,1.606882879399193,1.5951933217901,1.580976542949631,1.6085631114049324,1.531195575683632,1.5892630196169084,1.5821161069326442,1.510537455729282,1.5034457316742862,1.5489185950482087,1.446593019758351,0.872197680525539,0.9023709141951973,1.6128277266213784,1.5981212735544543,1.6079505015902806
活跃国债ETF,1.3669624809735648,1.4772829537499368,1.5109383437085702,1.5781225618768826,1.5143579320947667,1.5491389248393175,1.4476740491269973,1.4782300096493592,1.4099064035953763,0.7049891654551285,0.6362378111590332,0.8417119192340599,0.941883239412163,0.0,1.5994544440550134,1.6205255077207323,1.577361093421784,1.5900576115857368,1.4611362481921224,1.5695971815190786,1.6015312682339653,1.5112430466252889,1.4233630542057665,1.554274432753745,1.4613363897412976,0.7757922739456169,0.8358840983085281,1.6068814038219883,1.6244832328404195,1.6018679336355794
沪深300ETF,1.2848471609088261,0.8530271715526315,0.6267431246930799,0.7079459486223956,0.7315458968003578,0.832112486533786,1.101580968807589,1.067742715675677,1.3449855092903658,1.6549462572397964,1.6399673480015944,1.6611200709766831,1.606882879399193,1.5994544440550134,0.0,0.5154290103501619,0.4474407944959058,0.3684083711949709,0.9190484347361946,0.6189556924133821,0.5558527514785159,0.8849569332650814,1.3862975933504396,1.0415603605743027,1.304995593527686,1.6461462012632437,1.6060805561330878,0.17721749166030393,0.5705099828100633,0.3879698515334005
中证500ETF,1.4784050959407649,1.127824526654693,0.9039872738415099,0.925251086479426,0.906403148159623,0.8987024016357864,1.2354487674195287,1.1388759598352203,1.4066528002896892,1.6490583001939372,1.6425982890695499,1.657789678012265,1.5951933217901,1.6205255077207323,0.5154290103501619,0.0,0.5030453178724382,0.7358144797387761,1.1978310531465761,0.6250553691426949,0.5837460488056113,1.046027255364174,1.382087588890648,1.0926881839284206,1.3229195512028398,1.652449607474604,1.60858578170398,0.5100231788421464,0.17529088277711352,0.7157660751012468
创业板ETF,1.4590038098591098,1.0424878557192845,0.7953603591757235,0.9090793281492293,0.6066583672034819,0.8014813653389565,1.2395193877991786,1.2154245482507209,1.3155580726397746,1.6537937778372886,1.623474511641973,1.6501541257659726,1.580976542949631,1.577361093421784,0.4474407944959058,0.5030453178724382,0.0,0.7076825258790916,1.1529757308783175,0.5921164948130653,0.45087048193271123,1.1119414202746896,1.4169405697135535,1.0978339576041136,1.3552817040370249,1.6320123869505727,1.6118551433275667,0.5073767816362701,0.5748406144949864,0.7491011335465473
上证50ETF,1.117512115986861,0.7146397482704314,0.5396023134910924,0.6056604554391345,0.8524994108227391,0.9326127420787658,1.0189043840974477,1.0212052761947163,1.362414513185485,1.6387773859877057,1.6217728922299854,1.6492848024388638,1.6085631114049324,1.5900576115857368,0.3684083711949709,0.7358144797387761,0.7076825258790916,0.0,0.7617696538385308,0.7703520179316141,0.7246167627981944,0.7741031153409329,1.375523778199389,1.0376692562184733,1.293504483553527,1.6254072411693576,1.5795376867598512,0.3589939810818041,0.7666171010136381,0.2384974212178209
银行ETF,0.7014443570886713,0.5491131616487553,0.8117314069774989,1.0366617220008614,1.1357759031404009,1.2377836403789677,1.0158308292848173,1.1439317469814207,1.30683633487022,1.5293584593137761,1.4936887168704107,1.5200254037260403,1.531195575683632,1.4611362481921224,0.9190484347361946,1.1978310531465761,1.1529757308783175,0.7617696538385308,0.0,1.176674529045258,1.1770577672264437,0.7598093641665492,1.3398053545527784,1.23242719219811,1.4040166048872822,1.5200492286486122,1.4985322126735467,0.9325321626682385,1.212886248707906,0.8046697317215524
证券ETF,1.429142617614457,1.0736481359060883,0.8090588547703885,0.9480103478103628,0.9192226000294634,0.9946062004623178,1.3108972137789372,1.2305557887165572,1.4171839609983314,1.6235328131779345,1.6156554496860325,1.6542756178761653,1.5892630196169084,1.5695971815190786,0.6189556924133821,0.6250553691426949,0.5921164948130653,0.7703520179316141,1.176674529045258,0.0,0.7101599750668015,1.1564090859162504,1.4535322512741706,1.0864399818154935,1.3254658970167381,1.614174460268774,1.5813263258484318,0.6305449550652646,0.6377559127664716,0.793284219927473
