,工商银行,建设银行,农业银行,招商银行,兴业银行,平安银行,中国平安,中信证券,中国人寿,万科A,保利发展,贵州茅台,五粮液,伊利股份,海天味业,恒瑞医药,药明康德,迈瑞医疗,宁德时代,比亚迪,海康威视,立讯精密,中国石油,中国神华,紫金矿业,三一重工,中国中免,美的集团,中国移动,中兴通讯
保利发展,0.22950860485440774,0.25269260013650185,0.20296018718985517,0.4747803803553016,0.36767210724962895,0.5013476758598094,0.4029613963263524,0.430395419718541,0.3269591146118561,0.764849597678264,1.0,0.2640336336442405,0.300431217662028,0.31799049909162863,0.2522602564757063,0.061008560279192686,0.14279907488256288,0.08109082132129848,0.16948191506837132,0.15620367856301914,0.16956730729484104,0.052771410372392025,0.1216956074607512,0.15326025071727753,0.0940904029322954,0.3140103133802379,0.3248687954729112,0.3355405907445083,0.013617270958842104,0.1276168910809886
贵州茅台,0.08742692500977997,0.04818265169577334,0.0780816524987444,0.4378988672048551,0.3173230417743687,0.42033256457215784,0.4099824004255098,0.3947208214249099,0.3126003393805514,0.3287902664000894,0.2640336336442405,1.0,0.7086032607399839,0.47426258486717277,0.5130455670806408,0.266317746380282,0.2574926389169949,0.27402844598770393,0.42540141842782947,0.33509840750549935,0.23649813575398074,0.17052964804997234,0.09088481405843135,0.10047484882839501,0.22923760804567578,0.3987889572718312,0.532943562653431,0.3719062434471108,0.035813414342717086,0.08728595566500919
五粮液,0.06856009780208962,0.08550087925508174,0.05238611004225488,0.47587349811695145,0.2844078933289635,0.45964305178198694,0.4438468174465259,0.399371897932205,0.3029773063664488,0.36402959458424405,0.300431217662028,0.7086032607399839,1.0,0.4948042146376622,0.5694877299667059,0.245986793488767,0.340197315225478,0.284828134832819,0.4070870836532357,0.3531116345831358,0.2849840700922282,0.20392395692798615,0.07742281309786007,0.09540860420879163,0.313872200057812,0.4868942595736648,0.5768537418649173,0.37242448400217265,0.04037802938956057,0.1050255229621739
伊利股份,0.12206918925307904,0.13604762423424144,0.11154294113003835,0.4874030282555733,0.2913562733991368,0.4441266046790066,0.4320481919405677,0.4272995612536019,0.30143509143473185,0.33675200264974825,0.31799049909162863,0.47426258486717277,0.4948042146376622,1.0,0.5327062615347986,0.29277693685256273,0.3018800762829785,0.2876223850415928,0.3131236240040959,0.2929333060709104,0.23055392405088893,0.24473091284006632,0.1909439301373294,0.17092799386106958,0.22406438948239402,0.34301072575840313,0.43804064596988185,0.3606946609588386,0.09110369561060887,0.09449804575843393
海天味业,0.041419195404699564,0.01968205786155168,0.043301152114568586,0.37931635913331074,0.28313224496722816,0.3713721295744053,0.3792195923335482,0.3841684832996321,0.2850483790808086,0.3122399154480628,0.2522602564757063,0.5130455670806408,0.5694877299667059,0.5327062615347986,1.0,0.23504095142582576,0.3339758591764866,0.26870827578390755,0.3513430427764072,0.3179019157105971,0.31185238655072667,0.21697353375901682,0.07074034519592816,0.040375700640450075,0.19430831073297503,0.4048732906872043,0.5536379351346613,0.33482476621335566,0.07555215559432994,0.17754267470648533
恒瑞医药,0.030227546315822446,0.010902103643336807,-0.017772988338762088,0.15684042191243536,0.07402121932770374,0.16375005411798013,0.18946398948043713,0.22564979677582075,0.20770077715003793,0.10974179512894418,0.061008560279192686,0.266317746380282,0.245986793488767,0.29277693685256273,0.23504095142582576,1.0,0.3930584737686103,0.5363997833458004,0.16425490652726735,0.08461472605058355,0.19819172988737055,0.10103197424343714,0.02002618375815269,-0.003655797404532503,0.059900031348111525,0.16108052921584046,0.23388222437977849,0.2515954804736199,0.021552370468394425,0.14699180871070205
药明康德,-0.049516474483729984,-0.0745964966372877,-0.1012415796002787,0.21538685429238433,0.14737294319930355,0.225778481693127,0.2272301584607581,0.24447411732124705,0.1513990939890718,0.21742002537482505,0.14279907488256288,0.2574926389169949,0.340197315225478,0.3018800762829785,0.3339758591764866,0.3930584737686103,1.0,0.2894332477687653,0.40593210243833955,0.3036698648661819,0.24289006576803987,0.28960063623988375,-0.005602732447494287,-0.02079795694831972,0.14088861876020822,0.2072258036774071,0.4264533728218835,0.1964532830234452,-0.00621850273114114,0.13173224458027463
迈瑞医疗,0.012099488151570215,-0.03578941021086555,-0.027199417349459687,0.16703771099948275,0.09934228965315339,0.2164064875454167,0.18982497906686396,0.1557120388189148,0.13725249580474236,0.1675016564403336,0.08109082132129848,0.27402844598770393,0.284828134832819,0.2876223850415928,0.26870827578390755,0.5363997833458004,0.2894332477687653,1.0,0.17050936634821698,0.052068634409205734,0.08379760656404962,0.08644887237214231,-0.10315026248110787,-0.06741039996671362,0.11779520320946689,0.10913133129555845,0.25324859933018135,0.22362247135603688,0.014123192138929755,0.09876005588801078
宁德时代,-0.08863834845551562,-0.13469148461889743,-0.11378437865753034,0.27251017272530953,0.1821476388469651,0.2653357857227684,0.2811129000479758,0.2955049893050778,0.18543310774580068,0.29448368604785974,0.16948191506837132,0.42540141842782947,0.4070870836532357,0.3131236240040959,0.3513430427764072,0.16425490652726735,0.40593210243833955,0.17050936634821698,1.0,0.547717029649424,0.2166203670482291,0.22214967673066177,-0.07064594795549009,-0.0988627339108571,0.09326591111204884,0.31758205210357887,0.49462919521948506,0.13004226677215142,-0.06661134809914086,0.0857831614839305
比亚迪,-0.01734997653205293,-0.05061026570839385,-0.0406416200141731,0.28246380166688145,0.19811721070652105,0.2403095563432895,0.3808273135643195,0.28958100907939394,0.22051227998931197,0.2532322304453261,0.15620367856301914,0.33509840750549935,0.3531116345831358,0.2929333060709104,0.3179019157105971,0.08461472605058355,0.3036698648661819,0.052068634409205734,0.547717029649424,1.0,0.24358850537234694,0.20930430308506273,0.0552359359876524,0.05062488005390833,0.18000274162123378,0.25620528730077774,0.3888829006620221,0.2568391445383833,-0.008078098484092666,0.07369865051592579
